Date : 2024-02-01 22:26:01
Directory : /home/gabrielt/Git/OS
Total : 417 files,  1350 codes, 200 comments, 224 blanks, all 1774 lines

Languages
+--------------+------------+------------+------------+------------+------------+
| language     | files      | code       | comment    | blank      | total      |
| blog_os/target/bootimage/bootloader/release/.fingerprint/llvm-tools-c5007a86d5aa1ae0                                                                                         |          1 |          1 |          0 |          0 |          1 |
| blog_os/target/bootimage/bootloader/release/.fingerprint/serde-1f949f8ded8f2ab4                                                                                              |          1 |          1 |          0 |          0 |          1 |
| blog_os/target/bootimage/bootloader/release/.fingerprint/serde-21c3ab5ea8e3b32e                                                                                              |          1 |          1 |          0 |          0 |          1 |
| blog_os/target/bootimage/bootloader/release/.fingerprint/serde-3b60a665bddf4196                                                                                              |          1 |          1 |          0 |          0 |          1 |
| blog_os/target/bootimage/bootloader/release/.fingerprint/serde-8f9c04e04424744b                                                                                              |          1 |          1 |          0 |          0 |          1 |
| blog_os/target/bootimage/bootloader/release/.fingerprint/serde-9ae245894d898af7                                                                                              |          1 |          1 |          0 |          0 |          1 |
| blog_os/target/bootimage/bootloader/release/.fingerprint/serde-ae4db928395aeee6                                                                                              |          1 |          1 |          0 |          0 |          1 |
| blog_os/target/bootimage/bootloader/release/.fingerprint/toml-3ff326e727252ccf                                                                                               |          1 |          1 |          0 |          0 |          1 |
| blog_os/target/bootimage/bootloader/release/.fingerprint/toml-d93cde4009aae75d                                                                                               |          1 |          1 |          0 |          0 |          1 |
| blog_os/target/bootimage/bootloader/release/.fingerprint/x86_64-95ad3ed1bdecb9c3                                                                                             |          1 |          1 |          0 |          0 |          1 |
| blog_os/target/bootimage/bootloader/release/.fingerprint/x86_64-a24b69099ed009b8                                                                                             |          1 |          1 |          0 |          0 |          1 |
| blog_os/target/bootimage/bootloader/x86_64-bootloader                                                                                                                        |         42 |         51 |          0 |          0 |         51 |
| blog_os/target/bootimage/bootloader/x86_64-bootloader/release                                                                                                                |         42 |         51 |          0 |          0 |         51 |
| blog_os/target/bootimage/bootloader/x86_64-bootloader/release/.fingerprint                                                                                                   |         39 |         39 |          0 |          0 |         39 |
| blog_os/target/bootimage/bootloader/x86_64-bootloader/release/.fingerprint/bit_field-961001ece0880344                                                                        |          1 |          1 |          0 |          0 |          1 |
| blog_os/target/bootimage/bootloader/x86_64-bootloader/release/.fingerprint/bit_field-ff1e649b58277fe9                                                                        |          1 |          1 |          0 |          0 |          1 |
| blog_os/target/bootimage/bootloader/x86_64-bootloader/release/.fingerprint/bitflags-748217674a7e1367                                                                         |          1 |          1 |          0 |          0 |          1 |
| blog_os/target/bootimage/bootloader/x86_64-bootloader/release/.fingerprint/bitflags-a1e64711e727d7c3                                                                         |          1 |          1 |          0 |          0 |          1 |
| blog_os/target/bootimage/bootloader/x86_64-bootloader/release/.fingerprint/bitflags-a61f449089e6f723                                                                         |          1 |          1 |          0 |          0 |          1 |
| blog_os/target/bootimage/bootloader/x86_64-bootloader/release/.fingerprint/bitflags-d5c3fea8d5309b7b                                                                         |          1 |          1 |          0 |          0 |          1 |
| blog_os/target/bootimage/bootloader/x86_64-bootloader/release/.fingerprint/bootloader-071a48388184c4d4                                                                       |          1 |          1 |          0 |          0 |          1 |
| blog_os/target/bootimage/bootloader/x86_64-bootloader/release/.fingerprint/bootloader-12f71e7241354ee4                                                                       |          1 |          1 |          0 |          0 |          1 |
| blog_os/target/bootimage/bootloader/x86_64-bootloader/release/.fingerprint/bootloader-3131cce88339f4aa                                                                       |          1 |          1 |          0 |          0 |          1 |
| blog_os/target/bootimage/bootloader/x86_64-bootloader/release/.fingerprint/bootloader-37587c96a9eb3e06                                                                       |          1 |          1 |          0 |          0 |          1 |
| blog_os/target/bootimage/bootloader/x86_64-bootloader/release/.fingerprint/bootloader-3b54d03ba3ff9154                                                                       |          1 |          1 |          0 |          0 |          1 |
| blog_os/target/bootimage/bootloader/x86_64-bootloader/release/.fingerprint/bootloader-57515a20c5efd913                                                                       |          1 |          1 |          0 |          0 |          1 |
| blog_os/target/bootimage/bootloader/x86_64-bootloader/release/.fingerprint/bootloader-c9255ec0c91cbae2                                                                       |          1 |          1 |          0 |          0 |          1 |
| blog_os/target/bootimage/bootloader/x86_64-bootloader/release/.fingerprint/bootloader-cb62e4ccefd4c8ef                                                                       |          1 |          1 |          0 |          0 |          1 |
| blog_os/target/bootimage/bootloader/x86_64-bootloader/release/.fingerprint/bootloader-e03fdfe02c944202                                                                       |          1 |          1 |          0 |          0 |          1 |
| blog_os/target/bootimage/bootloader/x86_64-bootloader/release/.fingerprint/compiler_builtins-428413d0001c1449                                                                |          1 |          1 |          0 |          0 |          1 |
| blog_os/target/bootimage/bootloader/x86_64-bootloader/release/.fingerprint/compiler_builtins-64d0b5dee48ac01b                                                                |          1 |          1 |          0 |          0 |          1 |
| blog_os/target/bootimage/bootloader/x86_64-bootloader/release/.fingerprint/compiler_builtins-86fef085a2599c5a                                                                |          1 |          1 |          0 |          0 |          1 |
| blog_os/target/bootimage/bootloader/x86_64-bootloader/release/.fingerprint/compiler_builtins-df0f4404921bdfc9                                                                |          1 |          1 |          0 |          0 |          1 |
| blog_os/target/bootimage/bootloader/x86_64-bootloader/release/.fingerprint/core-24f0802b53cfe82d                                                                             |          1 |          1 |          0 |          0 |          1 |
| blog_os/target/bootimage/bootloader/x86_64-bootloader/release/.fingerprint/core-ad3b482424fc65d0                                                                             |          1 |          1 |          0 |          0 |          1 |
| blog_os/target/bootimage/bootloader/x86_64-bootloader/release/.fingerprint/fixedvec-1911d2451340eaae                                                                         |          1 |          1 |          0 |          0 |          1 |
| blog_os/target/bootimage/bootloader/x86_64-bootloader/release/.fingerprint/fixedvec-efd05e46b8e891b0                                                                         |          1 |          1 |          0 |          0 |          1 |
| blog_os/target/bootimage/bootloader/x86_64-bootloader/release/.fingerprint/rlibc-7a06084e95e83b47                                                                            |          1 |          1 |          0 |          0 |          1 |
| blog_os/target/bootimage/bootloader/x86_64-bootloader/release/.fingerprint/rlibc-f0a943e24a683838                                                                            |          1 |          1 |          0 |          0 |          1 |
| blog_os/target/bootimage/bootloader/x86_64-bootloader/release/.fingerprint/rustc-std-workspace-core-477b055860b3b3de                                                         |          1 |          1 |          0 |          0 |          1 |
| blog_os/target/bootimage/bootloader/x86_64-bootloader/release/.fingerprint/rustc-std-workspace-core-f3a22978c1bf9425                                                         |          1 |          1 |          0 |          0 |          1 |
| blog_os/target/bootimage/bootloader/x86_64-bootloader/release/.fingerprint/usize_conversions-409760c5179b9db9                                                                |          1 |          1 |          0 |          0 |          1 |
| blog_os/target/bootimage/bootloader/x86_64-bootloader/release/.fingerprint/usize_conversions-cd5a539eec2b490f                                                                |          1 |          1 |          0 |          0 |          1 |
| blog_os/target/bootimage/bootloader/x86_64-bootloader/release/.fingerprint/volatile-ac29779a971d9a1e                                                                         |          1 |          1 |          0 |          0 |          1 |
| blog_os/target/bootimage/bootloader/x86_64-bootloader/release/.fingerprint/volatile-dd1c9a1af8c4e1e1                                                                         |          1 |          1 |          0 |          0 |          1 |
| blog_os/target/bootimage/bootloader/x86_64-bootloader/release/.fingerprint/x86_64-14cf34dc353f64fa                                                                           |          1 |          1 |          0 |          0 |          1 |
| blog_os/target/bootimage/bootloader/x86_64-bootloader/release/.fingerprint/x86_64-7d98ef845866374b                                                                           |          1 |          1 |          0 |          0 |          1 |
| blog_os/target/bootimage/bootloader/x86_64-bootloader/release/.fingerprint/x86_64-cd3226c2fa96d52d                                                                           |          1 |          1 |          0 |          0 |          1 |
| blog_os/target/bootimage/bootloader/x86_64-bootloader/release/.fingerprint/x86_64-ff6e7bf290f6b5f0                                                                           |          1 |          1 |          0 |          0 |          1 |
| blog_os/target/bootimage/bootloader/x86_64-bootloader/release/.fingerprint/xmas-elf-27ee0716042bda7e                                                                         |          1 |          1 |          0 |          0 |          1 |
| blog_os/target/bootimage/bootloader/x86_64-bootloader/release/.fingerprint/xmas-elf-4df6c2c28660ce0c                                                                         |          1 |          1 |          0 |          0 |          1 |
| blog_os/target/bootimage/bootloader/x86_64-bootloader/release/.fingerprint/zero-531e2dbc4d5f2d60                                                                             |          1 |          1 |          0 |          0 |          1 |
| blog_os/target/bootimage/bootloader/x86_64-bootloader/release/.fingerprint/zero-89a10bb1a19e1c12                                                                             |          1 |          1 |          0 |          0 |          1 |
| blog_os/target/bootimage/bootloader/x86_64-bootloader/release/build                                                                                                          |          3 |         12 |          0 |          0 |         12 |
| blog_os/target/bootimage/bootloader/x86_64-bootloader/release/build/bootloader-071a48388184c4d4                                                                              |          1 |          4 |          0 |          0 |          4 |
| blog_os/target/bootimage/bootloader/x86_64-bootloader/release/build/bootloader-071a48388184c4d4/out                                                                          |          1 |          4 |          0 |          0 |          4 |
| blog_os/target/bootimage/bootloader/x86_64-bootloader/release/build/bootloader-3b54d03ba3ff9154                                                                              |          1 |          4 |          0 |          0 |          4 |
| blog_os/target/bootimage/bootloader/x86_64-bootloader/release/build/bootloader-3b54d03ba3ff9154/out                                                                          |          1 |          4 |          0 |          0 |          4 |
| blog_os/target/bootimage/bootloader/x86_64-bootloader/release/build/bootloader-c9255ec0c91cbae2                                                                              |          1 |          4 |          0 |          0 |          4 |
| blog_os/target/bootimage/bootloader/x86_64-bootloader/release/build/bootloader-c9255ec0c91cbae2/out                                                                          |          1 |          4 |          0 |          0 |          4 |
| blog_os/target/debug                                                                                                                                                         |         47 |         47 |          0 |          0 |         47 |
| blog_os/target/debug/.fingerprint                                                                                                                                            |         47 |         47 |          0 |          0 |         47 |
| blog_os/target/debug/.fingerprint/anyhow-7b5dfe5edb6c1608                                                                                                                    |          1 |          1 |          0 |          0 |          1 |
| blog_os/target/debug/.fingerprint/autocfg-20828532232d1b47                                                                                                                   |          1 |          1 |          0 |          0 |          1 |
| blog_os/target/debug/.fingerprint/autocfg-df400cf25fa1b350                                                                                                                   |          1 |          1 |          0 |          0 |          1 |
| blog_os/target/debug/.fingerprint/az-3f2220717ad15471                                                                                                                        |          1 |          1 |          0 |          0 |          1 |
| blog_os/target/debug/.fingerprint/az-841a55ab26702972                                                                                                                        |          1 |          1 |          0 |          0 |          1 |
| blog_os/target/debug/.fingerprint/blog_os-46d6d000a25253e6                                                                                                                   |          1 |          1 |          0 |          0 |          1 |
| blog_os/target/debug/.fingerprint/blog_os-54b301094f037ab8                                                                                                                   |          1 |          1 |          0 |          0 |          1 |
| blog_os/target/debug/.fingerprint/blog_os-f6985224f76a950b                                                                                                                   |          1 |          1 |          0 |          0 |          1 |
| blog_os/target/debug/.fingerprint/bootloader-5d2b6d53babbc6ca                                                                                                                |          1 |          1 |          0 |          0 |          1 |
| blog_os/target/debug/.fingerprint/bootloader-92cf90db54a52db8                                                                                                                |          1 |          1 |          0 |          0 |          1 |
| blog_os/target/debug/.fingerprint/bootloader-c7db1edc1ebe11aa                                                                                                                |          1 |          1 |          0 |          0 |          1 |
| blog_os/target/debug/.fingerprint/bootloader-d1e45174488aeb5e                                                                                                                |          1 |          1 |          0 |          0 |          1 |
| blog_os/target/debug/.fingerprint/cc-c012783b04dfe3ba                                                                                                                        |          1 |          1 |          0 |          0 |          1 |
| blog_os/target/debug/.fingerprint/compiler_builtins-105f57067a0686af                                                                                                         |          1 |          1 |          0 |          0 |          1 |
| blog_os/target/debug/.fingerprint/compiler_builtins-873a4987d7f73938                                                                                                         |          1 |          1 |          0 |          0 |          1 |
| blog_os/target/debug/.fingerprint/libc-06ac275bbbaa2347                                                                                                                      |          1 |          1 |          0 |          0 |          1 |
| blog_os/target/debug/.fingerprint/libc-0823e8ce77067351                                                                                                                      |          1 |          1 |          0 |          0 |          1 |
| blog_os/target/debug/.fingerprint/libc-a4f343ddaef411a3                                                                                                                      |          1 |          1 |          0 |          0 |          1 |
| blog_os/target/debug/.fingerprint/libc-b75519785bc85311                                                                                                                      |          1 |          1 |          0 |          0 |          1 |
| blog_os/target/debug/.fingerprint/lock_api-26bc45f0b8d7ee9a                                                                                                                  |          1 |          1 |          0 |          0 |          1 |
| blog_os/target/debug/.fingerprint/num-integer-2a950d56db97cacc                                                                                                               |          1 |          1 |          0 |          0 |          1 |
| blog_os/target/debug/.fingerprint/num-iter-02996c3ebfa7690e                                                                                                                  |          1 |          1 |          0 |          0 |          1 |
| blog_os/target/debug/.fingerprint/num-rational-38895521b91d5d90                                                                                                              |          1 |          1 |          0 |          0 |          1 |
| blog_os/target/debug/.fingerprint/num-traits-774bdab4238725f9                                                                                                                |          1 |          1 |          0 |          0 |          1 |
| blog_os/target/debug/.fingerprint/num-traits-a67203b281d419a4                                                                                                                |          1 |          1 |          0 |          0 |          1 |
| blog_os/target/debug/.fingerprint/num-traits-f64fdf6265c50ee7                                                                                                                |          1 |          1 |          0 |          0 |          1 |
| blog_os/target/debug/.fingerprint/proc-macro2-1714d66bad83c6de                                                                                                               |          1 |          1 |          0 |          0 |          1 |
| blog_os/target/debug/.fingerprint/proc-macro2-6665fcc45666adc6                                                                                                               |          1 |          1 |          0 |          0 |          1 |
| blog_os/target/debug/.fingerprint/proc-macro2-73a05feb231b014d                                                                                                               |          1 |          1 |          0 |          0 |          1 |
| blog_os/target/debug/.fingerprint/proc-macro2-993bb944f5922ec1                                                                                                               |          1 |          1 |          0 |          0 |          1 |
| blog_os/target/debug/.fingerprint/proc-macro2-b2727fdd1575d18f                                                                                                               |          1 |          1 |          0 |          0 |          1 |
| blog_os/target/debug/.fingerprint/proc-macro2-c696691d3e43b54b                                                                                                               |          1 |          1 |          0 |          0 |          1 |
| blog_os/target/debug/.fingerprint/quote-b4dbfb2c33aa421d                                                                                                                     |          1 |          1 |          0 |          0 |          1 |
| blog_os/target/debug/.fingerprint/rustversion-2454a0579c786ec0                                                                                                               |          1 |          1 |          0 |          0 |          1 |
| blog_os/target/debug/.fingerprint/rustversion-57cc1c503e9a2fa5                                                                                                               |          1 |          1 |          0 |          0 |          1 |
| blog_os/target/debug/.fingerprint/rustversion-e1dd564b7027d48c                                                                                                               |          1 |          1 |          0 |          0 |          1 |
| blog_os/target/debug/.fingerprint/serde-10fe9bb55e34a124                                                                                                                     |          1 |          1 |          0 |          0 |          1 |
| blog_os/target/debug/.fingerprint/serde_derive-bb866707cd38732f                                                                                                              |          1 |          1 |          0 |          0 |          1 |
| blog_os/target/debug/.fingerprint/serde_json-82e40131b143faf2                                                                                                                |          1 |          1 |          0 |          0 |          1 |
| blog_os/target/debug/.fingerprint/slab-a04b604fabc94886                                                                                                                      |          1 |          1 |          0 |          0 |          1 |
| blog_os/target/debug/.fingerprint/syn-2b62166085de1ce9                                                                                                                       |          1 |          1 |          0 |          0 |          1 |
| blog_os/target/debug/.fingerprint/syn-ddf264065b228f40                                                                                                                       |          1 |          1 |          0 |          0 |          1 |
| blog_os/target/debug/.fingerprint/thiserror-4b52c951377d8346                                                                                                                 |          1 |          1 |          0 |          0 |          1 |
| blog_os/target/debug/.fingerprint/thiserror-impl-c2fbc65ca720962c                                                                                                            |          1 |          1 |          0 |          0 |          1 |
| blog_os/target/debug/.fingerprint/tsc-3890b4c840dc30fe                                                                                                                       |          1 |          1 |          0 |          0 |          1 |
| blog_os/target/debug/.fingerprint/unicode-ident-02f147e3ca7fbe38                                                                                                             |          1 |          1 |          0 |          0 |          1 |
| blog_os/target/debug/.fingerprint/unicode-ident-daeb15672831beb9                                                                                                             |          1 |          1 |          0 |          0 |          1 |
| blog_os/target/x86_64-blog_os                                                                                                                                                |        279 |        319 |          0 |         15 |        334 |
| blog_os/target/x86_64-blog_os/debug                                                                                                                                          |        279 |        319 |          0 |         15 |        334 |
| blog_os/target/x86_64-blog_os/debug/.fingerprint                                                                                                                             |        277 |        277 |          0 |          0 |        277 |
| blog_os/target/x86_64-blog_os/debug/.fingerprint/Gabian-97f9510cb5dc72ea                                                                                                     |          1 |          1 |          0 |          0 |          1 |
| blog_os/target/x86_64-blog_os/debug/.fingerprint/alloc-18be01d54aac57b1                                                                                                      |          1 |          1 |          0 |          0 |          1 |
| blog_os/target/x86_64-blog_os/debug/.fingerprint/anyhow-2bb58e1a4cd3a509                                                                                                     |          1 |          1 |          0 |          0 |          1 |
| blog_os/target/x86_64-blog_os/debug/.fingerprint/anyhow-67d45340089d8553                                                                                                     |          1 |          1 |          0 |          0 |          1 |
| blog_os/target/x86_64-blog_os/debug/.fingerprint/anyhow-fda54a3e0775c925                                                                                                     |          1 |          1 |          0 |          0 |          1 |
| blog_os/target/x86_64-blog_os/debug/.fingerprint/az-01027fd08223138b                                                                                                         |          1 |          1 |          0 |          0 |          1 |
| blog_os/target/x86_64-blog_os/debug/.fingerprint/az-0f922e5134be58d0                                                                                                         |          1 |          1 |          0 |          0 |          1 |
| blog_os/target/x86_64-blog_os/debug/.fingerprint/az-1d13a0440098c7c5                                                                                                         |          1 |          1 |          0 |          0 |          1 |
| blog_os/target/x86_64-blog_os/debug/.fingerprint/az-38afd32ec7f63c73                                                                                                         |          1 |          1 |          0 |          0 |          1 |
| blog_os/target/x86_64-blog_os/debug/.fingerprint/az-68a7e155e23b761b                                                                                                         |          1 |          1 |          0 |          0 |          1 |
| blog_os/target/x86_64-blog_os/debug/.fingerprint/az-a1e0a6384d1735c4                                                                                                         |          1 |          1 |          0 |          0 |          1 |
| blog_os/target/x86_64-blog_os/debug/.fingerprint/az-dbc20559a1a07606                                                                                                         |          1 |          1 |          0 |          0 |          1 |
| blog_os/target/x86_64-blog_os/debug/.fingerprint/az-f2fbbe690ab0bca0                                                                                                         |          1 |          1 |          0 |          0 |          1 |
| blog_os/target/x86_64-blog_os/debug/.fingerprint/bit_field-1ad7ea58e8bb2ee2                                                                                                  |          1 |          1 |          0 |          0 |          1 |
| blog_os/target/x86_64-blog_os/debug/.fingerprint/bit_field-87778229a9c01b09                                                                                                  |          1 |          1 |          0 |          0 |          1 |
| blog_os/target/x86_64-blog_os/debug/.fingerprint/bit_field-921d11658de4ec49                                                                                                  |          1 |          1 |          0 |          0 |          1 |
| blog_os/target/x86_64-blog_os/debug/.fingerprint/bit_field-cb96f55bfe09464b                                                                                                  |          1 |          1 |          0 |          0 |          1 |
| blog_os/target/x86_64-blog_os/debug/.fingerprint/bitflags-1aade71ef534a3b0                                                                                                   |          1 |          1 |          0 |          0 |          1 |
| blog_os/target/x86_64-blog_os/debug/.fingerprint/bitflags-5e1a9379a7454941                                                                                                   |          1 |          1 |          0 |          0 |          1 |
| blog_os/target/x86_64-blog_os/debug/.fingerprint/bitflags-6412571434af9421                                                                                                   |          1 |          1 |          0 |          0 |          1 |
| blog_os/target/x86_64-blog_os/debug/.fingerprint/bitflags-8ebeb88e1a84ccd6                                                                                                   |          1 |          1 |          0 |          0 |          1 |
| blog_os/target/x86_64-blog_os/debug/.fingerprint/bitflags-b9cb990bba1409dd                                                                                                   |          1 |          1 |          0 |          0 |          1 |
| blog_os/target/x86_64-blog_os/debug/.fingerprint/bitflags-d2eeea4de9b636b6                                                                                                   |          1 |          1 |          0 |          0 |          1 |
| blog_os/target/x86_64-blog_os/debug/.fingerprint/bitflags-da7c11db26f67bf6                                                                                                   |          1 |          1 |          0 |          0 |          1 |
| blog_os/target/x86_64-blog_os/debug/.fingerprint/bitflags-f29814f53d904b75                                                                                                   |          1 |          1 |          0 |          0 |          1 |
| blog_os/target/x86_64-blog_os/debug/.fingerprint/blog_os-1022b4743b4fd295                                                                                                    |          1 |          1 |          0 |          0 |          1 |
| blog_os/target/x86_64-blog_os/debug/.fingerprint/blog_os-157bc891e81d0e25                                                                                                    |          1 |          1 |          0 |          0 |          1 |
| blog_os/target/x86_64-blog_os/debug/.fingerprint/blog_os-1a4aea021ca66964                                                                                                    |          1 |          1 |          0 |          0 |          1 |
| blog_os/target/x86_64-blog_os/debug/.fingerprint/blog_os-1d732e907eac8dd3                                                                                                    |          1 |          1 |          0 |          0 |          1 |
| blog_os/target/x86_64-blog_os/debug/.fingerprint/blog_os-1e6e588016dc9c74                                                                                                    |          1 |          1 |          0 |          0 |          1 |
| blog_os/target/x86_64-blog_os/debug/.fingerprint/blog_os-206ec2af6d1d5632                                                                                                    |          1 |          1 |          0 |          0 |          1 |
| blog_os/target/x86_64-blog_os/debug/.fingerprint/blog_os-2155be16ae84434f                                                                                                    |          1 |          1 |          0 |          0 |          1 |
| blog_os/target/x86_64-blog_os/debug/.fingerprint/blog_os-2754971bb5b86063                                                                                                    |          1 |          1 |          0 |          0 |          1 |
| blog_os/target/x86_64-blog_os/debug/.fingerprint/blog_os-29c838cc29c36980                                                                                                    |          1 |          1 |          0 |          0 |          1 |
| blog_os/target/x86_64-blog_os/debug/.fingerprint/blog_os-2a7289fbe19518dd                                                                                                    |          1 |          1 |          0 |          0 |          1 |
| blog_os/target/x86_64-blog_os/debug/.fingerprint/blog_os-313233f7afc0bbbb                                                                                                    |          1 |          1 |          0 |          0 |          1 |
| blog_os/target/x86_64-blog_os/debug/.fingerprint/blog_os-32acc5fcf6fe3c50                                                                                                    |          1 |          1 |          0 |          0 |          1 |
| blog_os/target/x86_64-blog_os/debug/.fingerprint/blog_os-32df5fc39234bf6a                                                                                                    |          1 |          1 |          0 |          0 |          1 |
| blog_os/target/x86_64-blog_os/debug/.fingerprint/blog_os-40a94637a8a351f2                                                                                                    |          1 |          1 |          0 |          0 |          1 |
| blog_os/target/x86_64-blog_os/debug/.fingerprint/blog_os-423ae14a3fcbee37                                                                                                    |          1 |          1 |          0 |          0 |          1 |
| blog_os/target/x86_64-blog_os/debug/.fingerprint/blog_os-4814ba4e6c89dcd0                                                                                                    |          1 |          1 |          0 |          0 |          1 |
| blog_os/target/x86_64-blog_os/debug/.fingerprint/blog_os-486e98c116087114                                                                                                    |          1 |          1 |          0 |          0 |          1 |
| blog_os/target/x86_64-blog_os/debug/.fingerprint/blog_os-4a29517d7ca2a6a7                                                                                                    |          1 |          1 |          0 |          0 |          1 |
